,attrs_json,count,percentage,demo_name,table analysed
0,"{""assembled_depth_in"":""12.3 in"",""assembled_height_in"":""17.8 in"",""assembled_width_in"":""12.3 in"",""number_of_cylinders_included"":""1"",""outdoor_living_product_type"":""Liquid Propane"",""pre_filled"":""Yes"",""product_depth_in"":""12.2 in"",""product_diameter_in"":""12 in"",""product_height_in"":""18 in"",""product_weight_lb"":""15 lb"",""product_width_in"":""12.2 in"",""tank_capacity_lb"":""15 lb"",""tank_weight_lb"":""31""}",318422,7.1,weber,_filter_items
1,"{""CA Residents: Prop 65 Warning(s)"":""Yes"",""Color/Finish Family"":""Gray"",""Contains Overfill Protection Device"":""Yes"",""Depth (Inches)"":""12"",""Diameter (Inches)"":""15"",""Height (Inches)"":""18"",""Length (Inches)"":""15"",""Manufacturer Color/Finish"":""Gray"",""Package Quantity"":""1"",""Primary Material"":""Steel"",""Type"":""Propane tank exchange"",""UNSPSC"":""24111800"",""Unit of Measure"":""Pound(s)"",""Unit of Measure Quantity"":""15"",""Warranty"":""None"",""Width (Inches)"":""12""}",220224,4.91,weber,_filter_items
2,"{""Brand"":""Kingsford"",""Case Count"":""2""}",202408,4.51,weber,_filter_items
3,"{""Brand"":""Kirkland Signature"",""Fuel Type"":""Wood Pellets""}",156520,3.49,weber,_filter_items
4,"{""assembled_depth_in"":""11.75 in"",""assembled_height_in"":""9.5 in"",""assembled_width_in"":""22.5 in"",""bag_weight_lb"":""16 lb"",""flavor"":""No Flavor"",""lighter_fluid_required"":""Lighter Fluid Required"",""number_of_bags_boxes"":""2"",""outdoor_living_product_type"":""Charcoal Briquettes"",""product_depth_in"":""22.5 in"",""product_height_in"":""9.5 in"",""product_width_in"":""22.5 in"",""returnable"":""90-Day""}",108664,2.42,weber,_filter_items
5,"{""certifications_and_listings"":""No Certifications or Listings"",""color_family"":""Assorted Colors"",""fuel_type"":""Butane"",""grilling_tools_and_utensils_features"":""No Additional Features"",""manufacturer_warranty"":""CALL FOR REPLACEMENT"",""outdoor_living_product_type"":""Grill Lighter"",""pack_size"":""1"",""product_depth_in"":""1.25 in"",""product_height_in"":""12.95 in"",""product_weight_lb"":""0.2 lb"",""product_width_in"":""3.5 in""}",103856,2.32,weber,_filter_items
6,"{""Brand"":""Traeger"",""Fuel Type"":""Wood Pellets""}",97933,2.18,weber,_filter_items
7,"{""CA Residents: Prop 65 Warning(s)"":""Yes"",""Material"":""Wood"",""Package Quantity"":""2"",""Refillable"":""No"",""Safety Listing"":""Not safety listed"",""Type"":""Charcoal briquettes"",""UNSPSC"":""15101600"",""Unit of Measure"":""Pound(s)"",""Unit of Measure Quantity"":""16"",""Warranty"":""None""}",84906,1.89,weber,_filter_items
8,"{""Bag Weight (lbs.)"":""40"",""CA Residents: Prop 65 Warning(s)"":""Yes"",""Flavor"":""Competition Blend"",""Recommended for All Food"":""Yes"",""Recommended for Baked Goods"":""Yes"",""Recommended for Beef"":""Yes"",""Recommended for Lamb"":""Yes"",""Recommended for Pork"":""Yes"",""Recommended for Poultry"":""Yes"",""Recommended for Seafood"":""Yes"",""Recommended for Vegetables"":""Yes"",""UNSPSC"":""15101600"",""Warranty"":""None""}",81491,1.82,weber,_filter_items
9,"{""CA Residents: Prop 65 Warning(s)"":""Yes"",""Material"":""Plastic"",""Package Quantity"":""2"",""Refillable"":""No"",""Safety Listing"":""UL safety listing"",""Series Name"":""Aim N Flame Max 2pk"",""Type"":""Lighter"",""UNSPSC"":""15101600"",""Unit of Measure"":""Count"",""Unit of Measure Quantity"":""2"",""Voltage"":""0"",""Warranty"":""Lifetime"",""Watts"":""0"",""Width (Inches)"":""3.25"",""Wind Resistant"":""No""}",61156,1.36,weber,_filter_items
