,attrs_json,count,percentage,demo_name,table analysed
0,"{""major_cat"":""grill tools & accessories""}",704860,72.46,weber,_filter_items
1,"{""major_cat"":""grilling fuels""}",145375,14.94,weber,_filter_items
2,"{""major_cat"":""gas grills""}",38101,3.92,weber,_filter_items
3,"{""major_cat"":""charcoal grills""}",30854,3.17,weber,_filter_items
4,"{""major_cat"":""gas griddles""}",17795,1.83,weber,_filter_items
5,"{""major_cat"":""pellet grills""}",12302,1.26,weber,_filter_items
6,"{""major_cat"":""electric grills""}",7766,0.8,weber,_filter_items
7,"{""major_cat"":""outdoor pizza ovens""}",6486,0.67,weber,_filter_items
8,"{""major_cat"":""combo or dual fuel grills""}",3193,0.33,weber,_filter_items
9,"{""major_cat"":""electric griddles""}",2510,0.26,weber,_filter_items
