Retailer Name,Quarter,% R4Q Market Share
Sam's Club,2021 2Q,4.789672417709632e-7
Sam's Club,2021 3Q,6.432363676783276e-7
Sam's Club,2021 4Q,1.8746352886640263e-6
Sam's Club,2022 1Q,2.1729978521718833e-6
Sam's Club,2022 2Q,2.6166193009289184e-6
Sam's Club,2022 3Q,3.6201473555362365e-6
Sam's Club,2022 4Q,2.3921157505895516e-6
Sam's Club,2023 1Q,1.680244258321488e-6
Sam's Club,2023 2Q,1.4065202061029768e-6
Sam's Club,2023 3Q,2.2651878510663748e-7
Sam's Club,2023 4Q,2.6798096949131274e-7
Sam's Club,2024 1Q,3.763381277967381e-7
Sam's Club,2024 2Q,2.5369979217652425e-7
Sam's Club,2024 3Q,4.026507492799471e-7
Sam's Club,2024 4Q,4.132210914891228e-7
Sam's Club,2025 1Q,2.478034212794213e-7
Sam's Club,2025 2Q,2.524420586500742e-7
Harbor Freight,2022 3Q,0.00008103731724926106
Harbor Freight,2022 4Q,0.00027173754886408567
Harbor Freight,2023 1Q,0.0005420974704996445
Harbor Freight,2023 2Q,0.0006572823266476875
Harbor Freight,2023 3Q,0.0007361380306116161
Harbor Freight,2023 4Q,0.0007976136199893613
Harbor Freight,2024 1Q,0.0007031015004506329
Harbor Freight,2024 2Q,0.0007058532690557836
Harbor Freight,2024 3Q,0.0006533259651779889
Harbor Freight,2024 4Q,0.0007112542939410391
Harbor Freight,2025 1Q,0.001016047872445433
Harbor Freight,2025 2Q,0.0012781995309521404
Tractor Supply,2021 2Q,0.0012977527992932183
Tractor Supply,2021 3Q,0.0012540538006965373
Tractor Supply,2021 4Q,0.00169904538983421
Tractor Supply,2022 1Q,0.0015787487401604605
Tractor Supply,2022 2Q,0.001518229577324898
Tractor Supply,2022 3Q,0.0015357179408493464
Tractor Supply,2022 4Q,0.0013976656611847588
Tractor Supply,2023 1Q,0.001432578557815378
Tractor Supply,2023 2Q,0.0015226538175711097
Tractor Supply,2023 3Q,0.0016812695697061366
Tractor Supply,2023 4Q,0.0015113418496480273
Tractor Supply,2024 1Q,0.0015632051814923012
Tractor Supply,2024 2Q,0.0015805464471619624
Tractor Supply,2024 3Q,0.0014909520098917728
Tractor Supply,2024 4Q,0.0012320917869699753
Tractor Supply,2025 1Q,0.0011123315746651573
Tractor Supply,2025 2Q,0.001060400231345282
Best Buy,2021 2Q,0.010372173361128136
Best Buy,2021 3Q,0.01007071151768349
Best Buy,2021 4Q,0.009396936664240742
Best Buy,2022 1Q,0.008762485882427454
Best Buy,2022 2Q,0.00836050917928448
Best Buy,2022 3Q,0.007704568462700724
Best Buy,2022 4Q,0.006349340729701366
Best Buy,2023 1Q,0.005425576807394853
Best Buy,2023 2Q,0.004965093167425521
Best Buy,2023 3Q,0.0046331278981387855
Best Buy,2023 4Q,0.004190276808433687
Best Buy,2024 1Q,0.0041554858650211576
Best Buy,2024 2Q,0.004074365014922934
Best Buy,2024 3Q,0.0036034385301008474
Best Buy,2024 4Q,0.0030200160341543924
Best Buy,2025 1Q,0.002884451561578742
Best Buy,2025 2Q,0.002626855412675669
Other Retailers,2021 2Q,0.022217654697485836
Other Retailers,2021 3Q,0.02275455549452496
Other Retailers,2021 4Q,0.022571910240058397
Other Retailers,2022 1Q,0.022332856417266376
Other Retailers,2022 2Q,0.021350073371932652
Other Retailers,2022 3Q,0.020056040009867156
Other Retailers,2022 4Q,0.02015336318244623
Other Retailers,2023 1Q,0.02136297909726016
Other Retailers,2023 2Q,0.022140638833245213
Other Retailers,2023 3Q,0.023968699037025646
Other Retailers,2023 4Q,0.024239106863588288
Other Retailers,2024 1Q,0.023037000495470097
Other Retailers,2024 2Q,0.021889540878482952
Other Retailers,2024 3Q,0.020348851940188446
Other Retailers,2024 4Q,0.019226245036236825
Other Retailers,2025 1Q,0.018286388939164528
Other Retailers,2025 2Q,0.017398166570979152
Target,2021 2Q,0.04093632790830808
Target,2021 3Q,0.041015352862319644
Target,2021 4Q,0.03970157103514882
Target,2022 1Q,0.03835176432328378
Target,2022 2Q,0.03681933334158369
Target,2022 3Q,0.033924681708812
Target,2022 4Q,0.03156784967369142
Target,2023 1Q,0.030632377868709204
Target,2023 2Q,0.029583222105857617
Target,2023 3Q,0.02916169419652748
Target,2023 4Q,0.028960349272112298
Target,2024 1Q,0.028304835684780257
Target,2024 2Q,0.02850696039658747
Target,2024 3Q,0.028658628690192388
Target,2024 4Q,0.027610193042165103
Target,2025 1Q,0.02736063384614285
Target,2025 2Q,0.026881490923545272
Costco,2021 2Q,0.04401402439374872
Costco,2021 3Q,0.04225606948278814
Costco,2021 4Q,0.045245736761904916
Costco,2022 1Q,0.04552243701517
Costco,2022 2Q,0.04563866324378152
Costco,2022 3Q,0.04433022470792334
Costco,2022 4Q,0.04174844702846796
Costco,2023 1Q,0.04055902623752191
Costco,2023 2Q,0.0354498467853206
Costco,2023 3Q,0.030221889101527337
Costco,2023 4Q,0.02498880772006006
Costco,2024 1Q,0.021266881734513108
Costco,2024 2Q,0.023176828699537005
Costco,2024 3Q,0.022842150947693162
Costco,2024 4Q,0.027684440793571196
Costco,2025 1Q,0.031023941918408987
Costco,2025 2Q,0.03347152887686341
Menards,2021 2Q,0.0666344939223791
Menards,2021 3Q,0.06658994658738839
Menards,2021 4Q,0.0642003699188726
Menards,2022 1Q,0.0643785139031999
Menards,2022 2Q,0.06656417815578651
Menards,2022 3Q,0.06977386124008934
Menards,2022 4Q,0.07254237603161873
Menards,2023 1Q,0.07347866455066927
Menards,2023 2Q,0.07502852386134833
Menards,2023 3Q,0.07620651712575617
Menards,2023 4Q,0.07884760198047161
Menards,2024 1Q,0.08062105068601273
Menards,2024 2Q,0.08102038967211247
Menards,2024 3Q,0.0803519023574837
Menards,2024 4Q,0.08062764716182623
Menards,2025 1Q,0.08219721465436107
Menards,2025 2Q,0.08367382350959007
Ace Hardware,2021 2Q,0.0954785821156732
Ace Hardware,2021 3Q,0.10030454434009582
Ace Hardware,2021 4Q,0.1016530030205361
Ace Hardware,2022 1Q,0.10079199374067688
Ace Hardware,2022 2Q,0.10211027052546823
Ace Hardware,2022 3Q,0.10280700019876882
Ace Hardware,2022 4Q,0.10440059212022308
Ace Hardware,2023 1Q,0.10583753981544597
Ace Hardware,2023 2Q,0.10613351863287411
Ace Hardware,2023 3Q,0.10694351860797356
Ace Hardware,2023 4Q,0.1092884577396866
Ace Hardware,2024 1Q,0.11053289052932744
Ace Hardware,2024 2Q,0.1099240559742252
Ace Hardware,2024 3Q,0.11090936636846437
Ace Hardware,2024 4Q,0.111731880881231
Ace Hardware,2025 1Q,0.11408021110889185
Ace Hardware,2025 2Q,0.11755342430396354
Lowe's,2021 2Q,0.1919140673015003
Lowe's,2021 3Q,0.1885488063116993
Lowe's,2021 4Q,0.1876915540110991
Lowe's,2022 1Q,0.18544406269441668
Lowe's,2022 2Q,0.18100497190940754
Lowe's,2022 3Q,0.17772668072311848
Lowe's,2022 4Q,0.17496313432890911
Lowe's,2023 1Q,0.1779912168736842
Lowe's,2023 2Q,0.18407190734318798
Lowe's,2023 3Q,0.18798819741022346
Lowe's,2023 4Q,0.1942731413505835
Lowe's,2024 1Q,0.19757488429457448
Lowe's,2024 2Q,0.19812687495909084
Lowe's,2024 3Q,0.20133072731011137
Lowe's,2024 4Q,0.20221629450012885
Lowe's,2025 1Q,0.20047815905342134
Lowe's,2025 2Q,0.19970824925449532
Walmart,2021 2Q,0.24939496127841984
Walmart,2021 3Q,0.24196733425923977
Walmart,2021 4Q,0.2327066812871834
Walmart,2022 1Q,0.22701983709631637
Walmart,2022 2Q,0.22321877766265286
Walmart,2022 3Q,0.2209559088953385
Walmart,2022 4Q,0.22115715114587198
Walmart,2023 1Q,0.21751289012373518
Walmart,2023 2Q,0.2141768799918685
Walmart,2023 3Q,0.20856003804787593
Walmart,2023 4Q,0.19545623344072108
Walmart,2024 1Q,0.19451024767925668
Walmart,2024 2Q,0.19446837749941484
Walmart,2024 3Q,0.19350824560839172
Walmart,2024 4Q,0.18885313368495568
Walmart,2025 1Q,0.1838206679420948
Walmart,2025 2Q,0.1794162034550185
Home Depot,2021 2Q,0.277739483254822
Home Depot,2021 3Q,0.2852379821071969
Home Depot,2021 4Q,0.2951313170358336
Home Depot,2022 1Q,0.30581512718923004
Home Depot,2022 2Q,0.3134123764134764
Home Depot,2022 3Q,0.32110065864792786
Home Depot,2022 4Q,0.3254459504332705
Home Depot,2023 1Q,0.3252233723530056
Home Depot,2023 2Q,0.3262690266144473
Home Depot,2023 3Q,0.32989868445584847
Home Depot,2023 4Q,0.33744680137373584
Home Depot,2024 1Q,0.33773004001097395
Home Depot,2024 2Q,0.3365259534896161
Home Depot,2024 3Q,0.3363020076215557
Home Depot,2024 4Q,0.3370863895637285
Home Depot,2025 1Q,0.33773970372540385
Home Depot,2025 2Q,0.3369314054885132
