Retailer Name,Quarter,% R4Q Market Share
Sam's Club,2024 2Q,2.5369979217652425e-7
Sam's Club,2024 3Q,4.026507492799471e-7
Sam's Club,2024 4Q,4.132210914891228e-7
Sam's Club,2025 1Q,2.478034212794213e-7
Harbor Freight,2024 2Q,0.0007058532690557836
Harbor Freight,2024 3Q,0.0006533259651779889
Harbor Freight,2024 4Q,0.0007112542939410391
Harbor Freight,2025 1Q,0.001016047872445433
Tractor Supply,2024 2Q,0.0015805464471619624
Tractor Supply,2024 3Q,0.0014909520098917728
Tractor Supply,2024 4Q,0.0012320917869699753
Tractor Supply,2025 1Q,0.0011123315746651573
Best Buy,2024 2Q,0.004074365014922934
Best Buy,2024 3Q,0.0036034385301008474
Best Buy,2024 4Q,0.0030200160341543924
Best Buy,2025 1Q,0.002884451561578742
Other Retailers,2024 2Q,0.021889540878482952
Other Retailers,2024 3Q,0.020348851940188446
Other Retailers,2024 4Q,0.019226245036236825
Other Retailers,2025 1Q,0.018286388939164528
Costco,2024 2Q,0.023176828699537005
Costco,2024 3Q,0.022842150947693162
Costco,2024 4Q,0.027684440793571196
Costco,2025 1Q,0.031023941918408987
Target,2024 2Q,0.02850696039658747
Target,2024 3Q,0.028658628690192388
Target,2024 4Q,0.027610193042165103
Target,2025 1Q,0.02736063384614285
Menards,2024 2Q,0.08102038967211247
Menards,2024 3Q,0.0803519023574837
Menards,2024 4Q,0.08062764716182623
Menards,2025 1Q,0.08219721465436107
Ace Hardware,2024 2Q,0.1099240559742252
Ace Hardware,2024 3Q,0.11090936636846437
Ace Hardware,2024 4Q,0.111731880881231
Ace Hardware,2025 1Q,0.11408021110889185
Walmart,2024 2Q,0.19446837749941484
Walmart,2024 3Q,0.19350824560839172
Walmart,2024 4Q,0.18885313368495568
Walmart,2025 1Q,0.1838206679420948
Lowe's,2024 2Q,0.19812687495909084
Lowe's,2024 3Q,0.20133072731011137
Lowe's,2024 4Q,0.20221629450012885
Lowe's,2025 1Q,0.20047815905342134
Home Depot,2024 2Q,0.3365259534896161
Home Depot,2024 3Q,0.3363020076215557
Home Depot,2024 4Q,0.3370863895637285
Home Depot,2025 1Q,0.33773970372540385
